Post_ID,Size,Depth,Max_Breadth,Mean_Breadth,Unique_Users,Duration_Minutes,Mean_Interval
1nosyvr,42,6,13,6.0,27,4201.016666666666,100.02420634920634
1np7ew1,33,7,10,4.125,22,9267.466666666667,280.83232323232323
1np9ela,59,7,25,7.375,44,35576.23333333333,602.9870056497175
1npjjot,69,6,32,9.857142857142858,56,246446.63333333333,3571.690338164251
1npujp1,20,5,8,3.3333333333333335,13,252886.46666666667,12644.323333333334
1nqkld7,15,4,9,3.0,14,4273.433333333333,284.8955555555556
1nr9jxj,43,3,28,10.75,34,3109.4,72.31162790697675
1nrsm38,20,3,15,5.0,19,10345.85,517.2925
1ns6hv2,21,3,9,5.25,14,5704.3,271.6333333333333
1nt1x7m,86,14,24,5.733333333333333,53,4204.7,48.891860465116274
1ntn9mq,58,10,17,5.2727272727272725,19,34287.65,591.1663793103448
1nu43s1,24,3,14,6.0,20,103686.68333333333,4320.278472222222
1nuao2y,192,5,98,32.0,139,1663.8166666666666,8.665711805555555
1nukliv,32,6,19,4.571428571428571,25,8973.216666666667,280.41302083333335
1nuuh14,195,7,145,24.375,166,1499.2333333333333,7.688376068376068
1nvcb2s,69,6,38,9.857142857142858,50,2592.116666666667,37.566908212560385
1nw105b,38,2,23,12.666666666666666,31,4882.25,128.48026315789474
1nw29s2,19,5,8,3.1666666666666665,13,2457.55,129.34473684210528
1nw340p,149,5,93,24.833333333333332,116,82842.51666666666,555.9900447427293
1nwlsab,27,5,14,4.5,20,3929.7833333333333,145.54753086419754
1nwozv8,36,3,18,9.0,28,3889.55,108.04305555555555
1nx464q,83,6,43,11.857142857142858,62,9945.95,119.83072289156627
1nxsj57,47,5,21,7.833333333333333,37,13364.633333333333,284.35390070921983
1nxxrrh,78,3,52,19.5,60,32998.666666666664,423.05982905982904
1ny07y7,36,3,24,9.0,35,209529.85,5820.273611111112
1ny0bd8,39,4,16,7.8,30,8520.233333333334,218.46752136752139
1o1btyw,69,7,35,8.625,50,2976.366666666667,43.13574879227053
1nzxbhn,25,7,5,3.125,15,2965.1833333333334,118.60733333333333
1o1m2jc,9,2,7,3.0,9,3687.6833333333334,409.7425925925926
1o26yix,142,7,81,17.75,110,12141.333333333334,85.50234741784038
1o2wch5,122,6,64,17.428571428571427,90,152323.95,1248.5569672131148
1o328n0,21,3,14,5.25,18,5423.266666666666,258.25079365079364
1o3cncq,32,6,14,4.571428571428571,25,2802.5333333333333,87.57916666666667
1o3e6bu,23,4,13,4.6,23,260811.8,11339.643478260869
1o3hz0v,21,4,14,4.2,19,251300.18333333332,11966.675396825396
1o3t1at,68,7,45,8.5,54,7301.933333333333,107.3813725490196
1o486uh,32,6,12,4.571428571428571,21,253079.08333333334,7908.721354166667
1o5760i,48,5,22,8.0,31,2906.75,60.557291666666664
1o57psq,61,9,32,6.1,43,262362.2,4301.019672131148
1o5i0ew,39,5,16,6.5,33,3023.8333333333335,77.53418803418803
1o5p3vf,18,4,7,3.6,14,2535.5666666666666,140.86481481481482
1o6r6qk,82,9,56,8.2,58,4387.433333333333,53.50528455284553
1o6uh3x,55,6,26,7.857142857142857,35,191703.31666666668,3485.5148484848487
1o7f9ym,30,3,20,7.5,28,44992.46666666667,1499.7488888888888
1o7m5wl,9,3,6,2.25,9,5408.266666666666,600.9185185185185
1o8ilvd,61,4,28,12.2,52,125020.01666666666,2049.508469945355
1o96cqh,26,3,19,6.5,24,4460.733333333334,171.56666666666666
1o98368,14,4,8,2.8,11,6061.75,432.98214285714283
1o9eg27,15,3,10,3.75,14,6632.45,442.1633333333333
1odh7yt,68,4,27,13.6,52,5902.066666666667,86.79509803921569
1obteip,22,3,8,5.5,12,4473.816666666667,203.35530303030302
1ocr909,16,3,8,4.0,9,2931.0333333333333,183.18958333333333
1oe4bn8,84,5,48,14.0,66,8443.016666666666,100.51210317460317
1oe7dkm,96,4,63,19.2,83,3314.8,34.52916666666667
1of13r9,111,8,53,12.333333333333334,73,20503.666666666668,184.71771771771773
1oe9wti,12,3,6,3.0,7,240711.9,20059.325
1of89cc,57,9,12,5.7,38,4016.016666666667,70.45643274853802
1oizu5f,20,4,12,4.0,18,7799.733333333334,389.9866666666667
1oj1yse,52,4,30,10.4,38,6337.25,121.8701923076923
1okv437,202,12,110,15.538461538461538,151,73770.31666666667,365.1995874587459
1ok0a2q,12,2,9,4.0,12,4715.6,392.9666666666667
